id,latitude,longitude,deities_recorded,deity_groups,families,structure,images_present,temple_name,distance_to_ganga_m,hotspot_class
1336,25.314997,83.01815,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,4,,2,3
1337,25.315005,83.018068,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,4,,5,3
1338,25.315018,83.018015,Siva,Shiva,Shaiva,Built into a wall,5,,8,3
1339,25.314976,83.017947,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,6,3
1340,25.314968,83.01793,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,6,3
1341,25.31497,83.017966,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,4,,5,3
1342,25.314935,83.017955,Siva,Shiva,Shaiva,Built into a wall,1,,2,3
1343,25.315009,83.017823,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,4,,14,3
1344,25.314925,83.017916,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,2,3
1345,25.314956,83.017902,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,6,,6,3
1346,25.314911,83.017838,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,7,,4,3
1347,25.314933,83.017797,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,8,3
1348,25.31491,83.017981,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,6,,0,3
1349,25.315066,83.018151,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Built into a wall,6,,9,3
1350,25.315245,83.018336,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,10,3
1351,25.31518,83.018332,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,6,3
1352,25.315162,83.018291,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,6,,7,3
1353,25.315316,83.018218,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,10,,24,3
1354,25.315221,83.018218,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,17,3
1355,25.315169,83.018293,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,3,,8,3
1356,25.315336,83.018462,Siva,Shiva,Shaiva,Built into a wall,1,,2,3
1357,25.315085,83.014475,Hanuman,Hanuman,Hanuman,Built into a wall,5,,274,3
1358,25.318493,83.016391,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,220,3
1359,25.31842,83.016703,Hanuman,Hanuman,Hanuman,Built into a wall,1,,250,3
1360,25.318778,83.01765,"Siva-Parvati,Siva","Shiva,Shiva-Parvati",Shaiva,Free-standing,3,,320,3
1361,25.318855,83.017641,Krishna,Krishna,Vaishnava,Free-standing,1,,317,3
1362,25.3188,83.017622,Krishna,Krishna,Vaishnava,Temple complex,1,Shri Krishna vishram sathali,317,3
1363,25.315528,83.021461,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,0,0
1364,25.318888,83.017889,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,"Built into a wall,Free-standing",1,,336,3
1365,25.318846,83.018402,Ganesh,Ganesh,Ganesh,Built into a wall,1,,293,3
1366,25.318839,83.018446,Hanuman,Hanuman,Hanuman,Built into a wall,1,,289,3
1367,25.318861,83.018801,Ganesh,Ganesh,Ganesh,Built into a wall,1,,265,3
1368,25.319297,83.01947,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Free-standing,3,,197,3
1369,25.31903,83.020485,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Free-standing,2,,162,3
1370,25.317285,83.021911,__ Bir Baabaa,Bir Baba,Folk,Built into a wall,1,Shri bale bir baba,0,0
1371,25.319275,83.022277,Hanuman,Hanuman,Hanuman,"Free-standing,Built into a wall",1,,113,3
1372,25.319548,83.022332,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,136,3
1373,25.319639,83.022304,Krishna,Krishna,Vaishnava,Built into a wall,1,,129,3
1374,25.31945,83.023158,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Free-standing,1,,85,3
1375,25.319509,83.023226,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Free-standing,1,Chandaneshwar mahadev,87,3
1376,25.319094,83.023309,Other,Other,Other,Built into a wall,1,,43,3
1377,25.319103,83.023362,"Siva,Siva-Parvati,Other","Other,Shiva,Shiva-Parvati","Other,Shaiva",Built into a wall,6,,42,3
1378,25.318966,83.023334,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,30,3
1379,25.318768,83.023489,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Built into a wall,6,Mankameshwar and takeshwar mahadev,3,3
1380,25.318845,83.023591,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Free-standing,3,Hrinyagarbheshwar mahadev,6,3
1381,25.318188,83.022345,"Siva,Siva family","Shiva,Shiva family",Shaiva,Free-standing,16,,8,3
1382,25.316938,83.020451,Siva-Parvati,Shiva-Parvati,Shaiva,Built into a wall,2,,9,3
1383,25.316703,83.020261,Hanuman,Hanuman,Hanuman,Built into a wall,1,,13,3
1384,25.316712,83.020386,Siva,Shiva,Shaiva,Built into a wall,1,,2,3
1385,25.316637,83.020365,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,0,3
1386,25.316677,83.020354,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Built into a wall,5,,3,3
